FILE,LABEL,VALUE
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_GrossProfit
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingIncomeLoss_066008ae-ab1b-46a3-a878-55e02c9b7d2e
calculation,to,loc_us-gaap_GrossProfit_7be6bf5f-0bb9-4cfd-991e-daa8a623cffd
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingExpenses_9a95d8ca-b9ee-4b48-abd9-e93872a0e8a3
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingExpenses
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OperatingIncomeLoss_066008ae-ab1b-46a3-a878-55e02c9b7d2e
calculation,to,loc_us-gaap_OperatingExpenses_9a95d8ca-b9ee-4b48-abd9-e93872a0e8a3
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossAttributableToParent_71ba5fe5-1331-4a5f-aa2a-3b8dfb674466
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeLossAttributableToParent
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingIncomeLoss_a77f23ee-dde8-42f3-a9d0-8b02672267d3
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossAttributableToParent_71ba5fe5-1331-4a5f-aa2a-3b8dfb674466
calculation,to,loc_us-gaap_OperatingIncomeLoss_a77f23ee-dde8-42f3-a9d0-8b02672267d3
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_InterestExpense_52445d64-b14a-435d-909b-fedfb45bd991
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_InterestExpense
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossAttributableToParent_71ba5fe5-1331-4a5f-aa2a-3b8dfb674466
calculation,to,loc_us-gaap_InterestExpense_52445d64-b14a-435d-909b-fedfb45bd991
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherNonoperatingIncomeExpense_ac8dc7e0-c19c-4155-8151-0e30d5357bfa
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherNonoperatingIncomeExpense
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_IncomeLossAttributableToParent_71ba5fe5-1331-4a5f-aa2a-3b8dfb674466
calculation,to,loc_us-gaap_OtherNonoperatingIncomeExpense_ac8dc7e0-c19c-4155-8151-0e30d5357bfa
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_c17c0b5e-0bc6-42c3-980d-b7f6d8c99638
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeLossAttributableToParent_b07766e1-728b-400c-8255-fa1ce7b3a9da
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeLossAttributableToParent
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_c17c0b5e-0bc6-42c3-980d-b7f6d8c99638
calculation,to,loc_us-gaap_IncomeLossAttributableToParent_b07766e1-728b-400c-8255-fa1ce7b3a9da
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_IncomeTaxExpenseBenefit_328a32d4-3c5e-4c4a-a245-592f0757814d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_IncomeTaxExpenseBenefit
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetIncomeLoss_c17c0b5e-0bc6-42c3-980d-b7f6d8c99638
calculation,to,loc_us-gaap_IncomeTaxExpenseBenefit_328a32d4-3c5e-4c4a-a245-592f0757814d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OperatingExpenses_b7b48613-a40f-4a0c-b574-63c333164db4
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OperatingExpenses
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherComprehensiveIncomeLossNetOfTax_4042749f-fdfb-497e-830d-39f59bf67938
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherComprehensiveIncomeLossNetOfTax
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax_572d994a-f2c4-4700-89ad-7688ae50b62d
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_OtherComprehensiveIncomeLossNetOfTax_4042749f-fdfb-497e-830d-39f59bf67938
